epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1162,0.68968,1.42001,1.06239,0.82156,0.83099,0.90172,0.59939,0.90139,1.71024,1.47255,0.000663446,0.000663446,0.000663446
2,114.805,0.81697,1.07194,1.11573,0.6881,0.65258,0.67838,0.35006,1.66691,1.97227,2.35324,0.00131694,0.00131694,0.00131694
3,156.952,0.85894,0.8957,1.14223,0.68538,0.77465,0.779,0.44473,1.31399,1.93408,1.89272,0.00195724,0.00195724,0.00195724
4,198.031,0.85299,0.81769,1.13983,0.52189,0.36903,0.39199,0.17561,2.10108,2.22743,2.8773,0.0019406,0.0019406,0.0019406
5,239.315,0.82158,0.74694,1.12327,0.87385,0.88732,0.94834,0.66906,0.93473,0.94053,1.4385,0.0019208,0.0019208,0.0019208
6,280.029,0.79358,0.69771,1.10816,0.98563,0.96596,0.98481,0.78695,0.78432,0.6875,1.37283,0.001901,0.001901,0.001901
7,320.75,0.79619,0.68854,1.10585,0.87977,0.95775,0.94176,0.75483,0.77086,0.67772,1.29724,0.0018812,0.0018812,0.0018812
8,362.435,0.73648,0.6412,1.07467,0.95185,0.98592,0.9836,0.80928,0.6628,0.67571,1.16643,0.0018614,0.0018614,0.0018614
9,405.632,0.70519,0.60085,1.05914,0.93206,0.98592,0.95676,0.75525,0.67441,0.58032,1.17882,0.0018416,0.0018416,0.0018416
10,447.116,0.7048,0.58156,1.05984,0.9558,0.97183,0.98156,0.85039,0.60357,0.47392,1.13234,0.0018218,0.0018218,0.0018218
11,488.084,0.68852,0.57056,1.03811,0.99287,0.98592,0.98576,0.82671,0.61946,0.47277,1.13032,0.001802,0.001802,0.001802
12,529.082,0.67816,0.55331,1.03694,0.92961,0.98592,0.97351,0.82533,0.58194,0.50783,1.0798,0.0017822,0.0017822,0.0017822
13,570.023,0.66956,0.53138,1.03743,0.98345,0.98592,0.98559,0.8705,0.55264,0.39533,1.07858,0.0017624,0.0017624,0.0017624
